cx,cy,rmajor,rminor,type
52,8,11.645897702510956,5.822948851255478,H
53,8,11.828395370589663,5.914197685294831,H
54,8,14.22420778059966,7.11210389029983,H
55,8,21.22065907891938,10.61032953945969,H
56,8,12.840620808654116,6.420310404327058,H
57,8,20.121428938631354,10.060714469315677,H
58,8,11.155700477787917,5.577850238893959,H
59,8,11.614066713892576,5.807033356946288,H
60,8,12.388620770273134,6.194310385136567,H
61,8,16.01735347276835,8.008676736384174,H
62,8,17.250273765253564,8.625136882626782,H
63,8,14.387606855507338,7.193803427753669,H
64,8,8.3970147975284,4.1985073987642,H
65,8,9.833653417171242,4.916826708585621,H
66,8,11.045353050577537,5.522676525288769,H
67,8,12.910648983614552,6.455324491807276,H
68,8,11.304245091340354,5.652122545670177,H
69,8,4.7237187109674545,2.3618593554837273,H
70,8,10.59971920992023,5.299859604960115,H
71,8,15.88790745238694,7.94395372619347,H
72,8,11.813540909234419,5.9067704546172095,H
